date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:47	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2264023d63-154%22	https://www.classcentral.com/robots.txt		(from )
21:58:58	665176/665176	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2004%20Mar%202023%2016:28:48%20GMT	https://www.classcentral.com/	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/index.html	(from )
21:58:59	9463/9463	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2018:30:22%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	D:/cloneeeeeee/temp%20httrac/new%20proj/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
21:58:59	2206/2206	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2018:30:21%20GMT	https://www.classcentral.com/apple-touch-icon.png	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
21:59:00	975/975	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2018:33:07%20GMT	https://www.classcentral.com/favicon-32x32.png	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
21:59:00	731/731	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2018:30:21%20GMT	https://www.classcentral.com/favicon-16x16.png	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
21:59:01	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2264023cbe-2a1%22	https://www.classcentral.com/site.webmanifest	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
21:59:01	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264023cbe-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
21:59:02	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2264023cbe-391%22	https://www.classcentral.com/opensearch.xml	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
21:59:02	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2003%20Mar%202023%2018:30:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	D:/cloneeeeeee/temp%20httrac/new%20proj/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
